,id,amount_tsh,gps_height,region_code,district_code,population,public_meeting,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group
25445,29857,0.0,43,60,43,6922,1,0,2004,1,2,1,0,0,0,0,2
43122,2416,0.0,1541,13,2,1,1,0,1970,4,0,3,5,2,0,0,0
19549,30866,0.0,1459,13,4,34,1,1,2004,2,0,1,2,4,0,1,2
32455,17263,500.0,2153,11,5,48,1,0,2003,0,0,6,0,0,0,0,1
54296,19997,100.0,1580,11,4,45,1,1,2007,0,0,2,0,2,0,0,0
26692,48253,0.0,0,14,1,805,0,0,1994,4,0,1,0,0,0,0,0
6447,34323,0.0,1718,16,2,270,1,0,1969,1,0,1,0,0,0,0,0
6779,14964,50.0,-5,80,62,2100,1,1,1998,1,0,2,0,0,0,0,2
51435,18942,0.0,0,12,1,546,1,1,1996,1,0,2,0,0,0,0,0
8028,2735,0.0,88,7,2,200,0,0,2000,3,0,1,0,2,0,2,0
8610,37463,50.0,189,6,1,40,0,1,2010,1,2,2,0,0,1,0,0
27148,70588,0.0,0,1,3,733,1,0,2003,1,0,2,1,2,0,0,0
51880,48709,20.0,514,4,6,700,1,1,2000,1,0,2,0,0,1,0,0
51613,18120,50.0,12,7,2,150,0,0,2000,1,0,2,0,0,0,0,0
27890,16089,0.0,0,12,6,613,0,0,1986,2,0,1,0,3,0,1,0
3149,64877,200.0,423,5,1,250,1,1,1998,2,0,6,0,0,0,1,2
15234,68321,0.0,0,1,3,734,1,0,1989,0,0,1,0,1,0,0,2
49867,8107,0.0,1620,21,2,370,1,1,2010,0,3,1,0,1,0,0,2
41004,56322,0.0,0,1,6,817,1,1,1988,4,0,1,0,0,0,0,2
854,28822,0.0,0,14,3,733,1,1,1986,4,0,1,0,0,0,0,0
2894,40304,500.0,1645,11,4,40,1,0,2007,6,0,4,0,0,0,1,0
36091,1900,0.0,157,4,3,1,1,0,1975,0,0,1,0,1,0,0,2
37951,45599,100.0,242,5,2,350,1,1,1997,2,0,6,0,3,0,1,0
27385,20519,0.0,1243,16,1,350,1,0,2009,2,0,3,0,3,0,1,2
31241,72523,10.0,1520,24,30,2000,1,1,2002,0,0,2,0,1,1,0,2
39985,63249,0.0,0,12,4,704,1,0,2000,0,0,1,0,0,0,0,2
47952,25346,0.0,0,12,6,375,1,0,2004,2,0,4,0,0,0,1,2
11983,5743,0.0,1016,10,3,86,0,1,2011,0,3,3,0,0,0,0,2
26559,36520,0.0,1179,19,1,250,1,1,2001,3,0,1,0,1,0,2,0
9435,37924,0.0,0,19,5,567,1,1,1986,2,0,1,0,0,0,1,2
14164,27772,0.0,0,18,2,698,1,1,1984,0,0,1,0,1,0,3,2
3739,1146,50.0,1069,2,1,1,1,0,2004,1,0,2,0,1,0,0,2
20120,36004,500.0,1598,11,5,20,1,0,1995,0,0,0,0,0,0,0,2
7803,13928,0.0,-46,6,6,100,1,0,1992,2,0,1,0,1,0,1,2
7596,17040,2000.0,1010,10,2,675,1,1,1990,2,0,0,0,1,0,1,2
14634,44638,0.0,1291,2,7,120,1,1,2002,0,0,3,0,1,1,0,2
9881,52195,0.0,1262,4,1,1,1,1,1982,0,0,1,0,0,0,0,1
41955,10320,0.0,0,14,4,284,1,1,2003,1,0,2,0,0,1,0,0
44565,44583,0.0,1141,20,4,250,1,0,1998,2,0,4,1,0,0,1,2
29380,44436,0.0,0,18,1,725,1,1,2006,0,0,1,0,2,0,0,0
42149,3126,0.0,0,12,7,572,1,1,1990,0,0,6,0,1,1,0,2
33741,8623,0.0,0,14,5,744,1,1,2007,2,0,1,0,0,0,1,2
39018,12167,0.0,1578,20,2,750,1,0,1996,6,0,4,0,1,0,1,0
32357,2179,0.0,1650,2,2,200,1,1,1998,0,0,1,0,0,0,0,2
2697,15162,0.0,1160,19,1,500,1,1,2007,2,0,1,0,1,0,1,2
52375,35166,600.0,546,10,1,1,1,0,1992,0,0,0,0,0,1,0,2
36112,45695,0.0,769,10,5,1200,1,0,1987,3,0,4,0,2,0,2,0
56651,67770,0.0,0,12,4,380,1,0,2000,0,2,3,0,0,1,0,0
35484,3071,0.0,1200,13,1,660,1,1,2007,0,3,1,0,3,1,0,1
56684,18647,20.0,1435,13,2,200,1,0,2000,4,0,2,0,1,0,0,2
6395,38242,0.0,458,3,3,240,1,1,2011,1,0,1,0,1,0,0,0
33086,46998,30.0,83,80,23,1,0,0,2010,0,0,2,0,1,1,0,2
31205,756,20.0,337,3,7,1,1,1,2002,0,0,6,0,0,0,0,0
48068,53084,0.0,0,1,1,754,1,0,1997,4,0,1,0,0,0,0,0
58694,64645,0.0,1182,2,7,350,1,0,2000,2,0,3,3,1,0,1,2
1383,40419,25.0,997,21,1,355,1,1,1984,0,0,2,0,1,1,0,2
26018,17491,0.0,0,17,8,345,1,0,1994,2,0,3,1,1,0,1,2
21447,15108,200.0,1583,11,4,30,1,1,1996,0,0,6,0,0,1,0,2
41362,4708,0.0,0,18,6,351,1,0,2005,0,0,1,0,0,0,3,1
43512,18584,0.0,0,12,1,715,1,1,1995,4,0,2,0,0,0,0,1
5128,41044,0.0,0,12,6,777,0,0,2000,2,0,4,0,3,0,1,2
22424,53276,0.0,0,12,6,818,0,0,1993,2,0,1,0,1,0,1,0
54236,7635,50.0,291,80,53,620,1,1,2010,2,0,2,1,0,0,1,0
8024,23772,0.0,0,19,2,384,1,1,2008,2,0,1,1,2,0,1,0
26554,28870,500.0,1341,15,1,175,1,1,1984,3,2,4,0,1,0,1,2
30582,3120,0.0,1387,20,3,350,0,0,1975,0,0,3,0,0,1,0,0
54722,13062,1000.0,1208,21,1,880,1,1,1994,2,0,6,0,0,0,1,2
18819,48554,500.0,460,5,1,250,1,1,2008,2,0,4,0,0,0,1,2
11645,25895,0.0,0,1,6,323,1,0,2007,2,0,2,0,0,0,1,2
7003,69888,2000.0,946,3,2,80,1,1,1973,0,0,6,0,1,0,0,2
24646,5369,0.0,115,80,23,1,1,0,2004,0,0,1,0,2,1,0,0
11735,61189,500.0,975,10,5,250,1,0,2009,2,0,6,0,1,0,1,2
56074,3768,0.0,15,60,60,22,1,0,1992,1,0,1,0,0,0,0,2
49020,15700,500.0,1702,11,4,85,1,1,1978,0,0,6,0,0,1,0,1
30730,14703,0.0,0,12,6,797,0,0,1999,2,0,6,1,1,0,1,0
18562,45551,0.0,1328,3,2,60,1,0,1972,0,0,1,0,1,0,2,0
36932,55999,0.0,1477,3,4,1,0,0,1982,0,0,3,0,1,0,2,0
34499,3248,0.0,570,5,1,235,1,1,2008,2,0,1,0,0,0,1,2
57153,3422,0.0,1709,11,2,785,1,1,1985,3,0,1,0,0,0,2,0
23847,61724,50.0,0,6,1,20,1,1,2011,1,2,2,0,0,1,0,2
5524,45771,0.0,0,12,4,772,1,0,2005,0,0,3,0,0,0,0,2
3040,42696,0.0,139,4,3,900,1,0,2004,0,0,1,0,1,0,0,0
1970,19828,0.0,1278,16,1,150,1,0,2009,0,0,3,0,1,0,3,2
36021,27622,0.0,2158,2,5,500,1,1,2005,2,0,1,0,0,0,1,0
59079,44623,10.0,208,6,1,120,1,1,1982,1,0,2,0,0,1,0,0
3186,1138,0.0,294,5,3,400,1,1,1984,3,0,1,0,1,0,1,0
15336,50680,0.0,0,19,2,303,1,1,1995,3,0,1,0,0,0,2,0
9944,20867,500.0,1701,11,3,294,1,0,1995,0,0,4,0,0,0,0,2
15174,19367,0.0,0,14,1,590,1,0,1995,2,0,4,0,0,0,1,2
45408,24459,30.0,16,60,53,1,1,1,2010,4,0,2,0,0,0,0,2
57484,4244,30.0,985,2,2,200,1,1,1980,0,0,2,0,0,0,0,2
38120,26852,0.0,0,18,7,772,1,1,1994,2,0,6,0,1,0,1,2
38027,5102,500.0,541,10,3,50,1,1,1992,0,0,6,0,0,0,0,2
10765,37728,0.0,0,14,1,357,0,1,1987,4,0,1,0,0,0,0,0
37113,10809,0.0,0,17,1,697,0,0,1992,2,0,1,1,0,0,1,1
2201,14224,0.0,1485,13,4,134,0,1,2003,2,0,1,0,4,0,1,2
8666,52415,0.0,483,10,1,1,1,0,1989,3,0,1,0,0,1,0,0
1249,63993,0.0,1019,10,3,40,0,1,2007,0,0,3,0,1,0,0,1
54803,34785,0.0,0,12,7,332,0,1,1994,0,0,1,4,3,1,0,0
10776,27442,200.0,397,5,2,300,1,1,1983,0,0,6,0,0,1,0,1
38262,39768,0.0,0,12,6,739,1,0,2007,2,0,4,0,1,0,1,2
25948,24831,250.0,1391,16,2,320,1,1,1996,0,0,6,0,0,1,0,2
50771,68802,0.0,0,17,5,568,1,1,2004,2,0,3,0,1,0,1,2
8196,13380,0.0,1187,3,4,80,1,1,1974,0,0,3,0,1,0,0,2
36597,19432,0.0,0,18,30,723,1,0,1987,2,0,1,0,0,0,1,2
41263,63926,0.0,808,15,2,170,1,0,1991,3,0,1,0,2,0,2,0
45641,10304,500.0,1784,11,4,50,1,1,2009,0,0,6,0,0,0,0,2
18228,52964,0.0,275,5,4,1,0,1,1998,2,0,3,0,4,0,1,0
7299,37888,0.0,196,4,3,300,1,0,1999,0,0,1,0,3,0,0,2
23238,22257,200.0,1152,19,1,650,1,1,1993,2,0,6,0,1,0,1,2
7710,18534,0.0,0,18,2,383,1,1,1996,2,0,1,0,0,0,1,2
28632,19242,30.0,1560,13,1,188,1,1,2006,4,0,2,0,0,0,0,1
28553,66831,0.0,0,12,4,655,1,0,1995,0,0,1,0,1,0,0,2
32554,20615,0.0,0,17,7,609,1,0,1997,2,0,6,0,0,0,1,2
39575,13200,0.0,962,3,4,130,1,1,1972,0,0,1,0,1,0,0,2
33591,7189,1500.0,1548,3,3,100,1,1,1978,0,0,0,0,1,0,0,2
45045,66997,0.0,0,19,7,730,0,1,1985,3,0,1,0,0,0,2,0
2280,15965,20.0,13,6,1,32,0,1,2003,4,0,2,0,0,1,0,2
45995,8393,0.0,0,19,2,333,1,1,1998,2,0,1,0,2,0,1,0
55559,13936,1000.0,1464,20,3,320,1,1,2010,2,0,6,1,1,0,1,2
15295,17712,0.0,0,19,6,698,1,1,1991,2,0,1,0,1,0,1,2
10059,72905,0.0,0,12,4,307,1,0,2008,0,0,1,0,1,0,0,2
56130,21905,50.0,1857,15,4,3200,0,1,1982,3,1,2,0,2,0,2,0
43358,46558,0.0,0,17,5,786,1,1,1991,6,0,3,0,0,0,1,2
14716,5737,0.0,352,5,6,500,1,1,1988,0,0,1,0,0,1,0,0
35387,17087,250.0,1700,16,2,420,1,0,1977,3,0,6,0,1,0,3,1
8451,19710,0.0,171,4,3,300,1,0,1983,3,0,1,0,0,0,2,0
58768,34501,50.0,1110,13,1,241,1,1,2011,4,0,2,0,0,0,0,2
9437,65208,200.0,644,5,1,50,1,1,2008,0,0,6,0,0,1,0,2
41805,45058,0.0,1609,16,3,170,1,1,2009,0,0,3,0,0,0,3,1
28272,70851,5.0,1118,3,4,25,1,1,2007,0,0,2,0,0,1,0,2
32410,8417,0.0,-27,7,3,40,1,0,2000,4,1,1,1,2,0,0,0
56451,29960,0.0,1424,16,1,350,1,1,2004,2,0,3,0,1,0,1,2
33837,23026,0.0,1569,16,2,570,1,0,1996,3,0,1,0,0,0,2,2
20495,30445,50.0,18,4,5,750,1,0,2010,1,0,2,1,0,0,0,2
15875,14514,0.0,0,17,3,833,1,1,2006,2,0,1,0,1,0,1,2
59281,33083,0.0,1629,3,7,1,1,1,2011,0,0,6,0,0,0,0,2
581,48080,50.0,1436,13,2,450,1,0,2010,1,0,2,0,1,0,0,2
17658,14160,20.0,1526,13,3,2000,1,0,1996,2,0,2,1,1,0,1,2
28368,8442,0.0,2112,11,3,554,1,0,1990,0,0,1,5,2,0,0,0
46576,40532,0.0,0,12,3,681,1,1,2000,0,0,1,0,2,0,0,0
28366,67880,0.0,1298,2,7,450,1,0,2005,0,0,3,0,1,1,0,2
28130,20850,0.0,282,5,3,600,1,1,2005,2,0,1,0,1,0,1,2
11156,1904,600.0,1230,20,6,432,0,0,1985,1,0,6,0,0,1,0,0
8254,57897,0.0,257,4,2,1000,1,0,1976,0,2,1,0,1,1,0,2
30461,40665,1000.0,1037,3,3,65,1,0,2007,0,0,6,0,1,0,0,2
43236,8739,0.0,269,8,3,230,1,0,1979,3,0,1,1,1,0,0,0
49617,25046,0.0,1971,15,4,1430,1,1,1984,0,0,1,0,2,1,0,0
39788,44824,0.0,981,10,2,800,1,1,1990,2,0,4,0,2,0,1,0
32776,48861,0.0,1075,13,1,315,1,1,2010,2,0,1,0,0,0,1,2
17937,25529,50.0,1151,20,4,800,1,1,1978,0,0,2,0,0,1,0,0
59287,37867,0.0,0,12,3,734,1,1,2008,0,0,1,0,2,0,0,0
53385,8550,0.0,0,1,3,577,1,0,2007,4,2,2,1,1,0,0,2
5099,10785,0.0,0,12,4,654,1,0,1994,0,0,1,0,0,1,0,1
25786,51023,0.0,1942,11,2,728,1,1,2000,2,0,1,0,1,0,1,2
53832,66206,0.0,0,19,2,338,1,1,2008,0,0,1,0,1,1,0,0
41842,15915,0.0,152,80,13,253,1,1,1985,3,0,1,1,0,0,2,0
39967,57669,0.0,1172,21,4,200,1,1,1996,0,0,3,0,0,0,2,0
9720,47354,0.0,1162,13,1,325,1,1,2008,0,3,1,0,3,1,0,2
17468,27417,0.0,0,19,2,720,1,1,2007,3,0,1,0,0,0,2,0
58497,37614,0.0,339,5,6,40,1,1,1967,0,0,1,0,0,1,0,0
44491,36555,0.0,1592,21,1,30,1,1,1998,0,0,1,0,0,0,0,2
10166,52103,0.0,1354,3,1,1,1,1,1974,0,2,1,0,0,0,0,0
7965,15085,0.0,1347,20,2,500,0,1,1996,0,0,3,0,0,0,0,0
37162,74238,40.0,321,4,6,180,1,1,1995,1,0,2,0,1,1,0,0
56312,13102,50.0,838,13,3,650,1,1,2003,1,0,2,0,0,0,0,2
40529,8504,200.0,959,5,4,45,1,1,2000,0,0,6,0,1,0,0,2
26961,59936,0.0,1203,2,3,1900,1,0,2000,0,0,1,0,3,1,0,2
20674,20642,300.0,753,5,1,120,1,1,2002,0,0,4,0,0,1,0,2
41771,6469,0.0,0,19,6,563,1,1,1999,1,0,1,0,1,1,0,2
54930,73196,0.0,0,18,8,573,1,1,2003,2,2,1,0,0,0,1,2
34787,26400,0.0,0,17,1,733,0,0,1986,3,0,3,0,2,0,2,0
56611,30406,1000.0,1012,10,4,350,1,1,1998,2,0,6,0,2,0,1,0
49270,42948,0.0,1678,11,5,115,1,0,1992,0,0,4,0,3,0,0,2
4379,50776,0.0,0,19,2,792,1,1,2005,3,0,1,0,0,0,2,0
8565,47135,450.0,1330,3,5,100,1,1,1995,0,0,3,0,0,0,0,2
17780,66775,0.0,0,12,3,438,1,1,1993,0,0,1,0,2,0,0,0
35046,16026,0.0,-55,6,4,50,1,0,2007,2,0,1,1,0,0,1,0
44389,54023,600.0,-8,99,1,400,1,1,1985,2,0,6,0,0,0,1,2
56712,2497,0.0,0,17,3,478,1,1,2000,3,2,3,2,3,0,2,2
54774,6714,3000.0,613,10,1,1,1,0,1996,2,0,0,0,0,0,1,2
54215,56441,0.0,0,12,4,494,1,0,1988,1,0,1,0,0,1,0,0
39434,13097,50.0,1568,13,2,1,1,0,1960,1,0,2,0,1,0,0,2
7067,53419,0.0,0,1,3,669,1,0,1993,0,0,0,0,1,0,0,2
36088,14620,0.0,1353,3,4,1,0,1,1976,0,0,1,0,1,0,2,0
51732,27212,0.0,311,4,6,150,1,1,2003,1,0,1,0,1,1,0,0
13902,8441,0.0,1313,21,3,132,1,1,2008,3,3,1,0,2,0,2,0
35540,19662,20.0,804,3,6,12,1,1,2008,0,2,2,0,1,0,0,2
54867,73198,0.0,271,5,3,100,1,1,1998,3,0,1,0,1,0,2,0
11133,4187,0.0,1419,20,3,250,0,0,1990,2,0,3,0,0,0,1,0
13479,36843,250.0,1453,16,2,420,1,1,1990,0,0,6,0,1,1,0,2
5493,18537,0.0,0,17,2,633,1,0,2003,2,0,3,1,1,0,1,2
37632,30926,0.0,367,5,6,1,0,1,1997,1,1,3,1,1,0,0,1
29959,11396,0.0,18,80,13,300,1,1,1993,2,0,1,1,0,0,1,2
8409,52578,0.0,0,17,1,707,0,0,1990,2,0,3,0,0,0,1,2
39911,2396,0.0,0,12,7,798,1,1,1986,0,0,6,0,3,1,0,2
5947,50486,500.0,1213,20,3,350,1,1,2011,2,0,6,0,0,0,1,2
36798,46888,0.0,0,12,2,345,0,0,1986,0,0,4,0,0,1,0,0
30413,53907,0.0,1271,20,6,400,0,0,1983,1,0,1,0,0,1,0,0
44320,61961,20.0,391,80,43,350,1,1,2006,2,0,2,1,2,0,1,0
45342,60233,500.0,1262,20,4,70,1,1,2009,2,0,6,1,1,0,1,2
54048,50769,0.0,1287,21,5,190,1,0,2006,3,0,1,1,0,0,2,0
55190,66701,0.0,0,17,6,618,1,1,1989,2,0,1,0,0,0,1,2
32699,1651,0.0,0,19,2,429,1,1,1988,2,0,1,1,0,0,1,2
7154,63325,0.0,107,4,4,400,1,1,1960,3,0,1,0,0,0,2,2
14407,4653,0.0,1446,3,4,100,1,1,1974,0,0,3,0,0,0,0,2
10289,18802,500.0,857,16,3,500,1,1,1985,0,0,6,0,3,1,0,0
54633,69957,0.0,0,12,1,681,1,1,1989,1,0,2,0,0,0,0,0
54727,6083,0.0,73,60,43,220,1,0,2010,2,0,1,1,0,0,1,2
15860,45671,0.0,0,18,2,735,1,1,1997,0,0,1,0,1,0,3,1
44842,39100,0.0,0,12,3,341,1,1,1987,0,0,1,0,0,0,0,2
38615,60126,0.0,0,12,7,585,1,0,1992,0,0,1,0,3,1,0,0
34548,11210,0.0,262,5,3,600,1,1,1976,1,0,1,0,1,0,0,0
30943,11865,0.0,257,8,3,125,1,0,1979,3,0,1,5,2,0,0,0
12435,1928,0.0,0,1,3,550,1,1,1994,1,0,1,1,0,0,0,2
16449,22147,0.0,287,5,3,250,1,1,1996,2,0,1,0,1,0,1,0
24132,9123,0.0,1220,21,1,60,1,1,2012,0,0,1,0,0,1,0,2
15694,72096,0.0,1603,16,2,950,1,0,1995,3,0,1,0,0,0,2,0
55656,47338,30.0,202,6,1,500,1,1,1982,1,0,2,0,0,1,0,0
58978,53967,0.0,1582,2,7,98,1,1,1994,0,0,3,0,1,0,0,2
22254,65890,10.0,1435,3,5,90,1,1,1999,0,0,2,0,0,0,0,2
53240,51533,3000.0,1052,16,2,210,1,1,1984,0,0,0,0,0,1,0,1
40208,35122,0.0,0,14,6,562,0,1,2005,2,0,1,0,2,0,1,0
57753,50130,0.0,0,17,5,620,0,1,2007,2,0,3,0,1,0,1,2
24589,42086,0.0,1749,11,4,130,1,1,2009,0,0,4,0,0,0,0,2
57141,50293,1000.0,932,10,2,350,1,1,1986,0,0,0,0,0,1,0,2
3204,31973,0.0,0,19,5,699,1,1,1998,2,0,1,0,0,0,1,0
33506,44881,0.0,397,8,3,60,0,0,2005,3,0,1,1,4,0,0,0
31020,72354,500.0,889,10,5,250,1,0,2006,2,0,6,0,0,0,1,0
18014,26289,0.0,0,12,7,287,1,1,1990,0,0,1,0,3,1,0,2
38099,56163,0.0,0,19,4,364,1,1,1991,3,0,1,0,0,0,2,0
36628,67614,0.0,303,5,3,270,1,1,2005,2,0,1,0,1,0,1,2
30968,48391,0.0,0,19,3,360,1,1,2001,4,0,2,0,0,1,0,2
6475,62062,0.0,0,14,1,629,0,1,1991,4,0,1,0,1,1,0,0
36982,54953,50.0,1145,20,4,250,1,1,1978,0,0,3,0,0,1,0,2
52390,19489,10.0,-39,9,5,540,1,0,2003,1,2,2,5,2,0,0,0
42241,2234,0.0,0,12,5,601,1,0,1993,2,0,3,0,3,0,1,2
12389,1557,0.0,0,1,4,344,1,1,1995,4,0,3,0,2,0,0,0
57457,36189,0.0,0,1,6,750,1,1,2008,4,0,1,0,1,0,0,0
41659,284,50.0,505,90,33,370,1,0,1988,1,0,2,0,0,0,0,0
37227,38482,1000.0,0,4,8,1,1,1,2008,2,0,6,1,0,0,1,2
51166,5395,10.0,1595,21,1,145,1,1,2012,0,0,2,0,1,0,0,2
325,21669,0.0,1715,15,3,1,0,1,1974,1,0,1,0,0,0,0,0
27709,64397,0.0,280,90,33,45,1,1,2004,0,0,3,0,3,0,0,2
24327,28013,0.0,0,17,6,745,1,1,1991,0,3,1,0,3,1,0,1
8314,56216,50.0,20,7,2,150,0,0,2010,1,2,2,0,0,0,0,2
41042,14330,0.0,0,18,7,321,1,1,2007,0,0,1,0,1,0,0,2
18854,31932,0.0,753,10,5,90,1,1,2010,0,0,4,0,3,1,0,2
10995,34519,0.0,0,17,2,590,1,0,1995,0,2,6,0,0,1,0,2
58470,47361,0.0,76,80,23,1,0,0,2006,2,0,1,1,1,0,1,0
54569,59269,0.0,1286,3,7,1,1,1,2002,0,0,6,0,0,0,0,2
38333,16826,0.0,1557,3,1,1,1,1,2010,0,2,6,0,0,0,0,2
41476,61740,50.0,88,7,1,3241,1,0,1970,1,0,2,0,2,1,0,0
29540,31373,0.0,1035,13,2,1,1,0,1970,4,0,3,5,2,0,0,0
1754,60479,0.0,0,12,3,727,1,1,1991,0,0,6,0,0,0,0,2
45279,53819,500.0,291,5,3,140,1,1,2005,2,0,6,0,1,0,1,2
57728,57050,0.0,108,80,62,600,1,1,1982,3,0,3,2,1,0,2,0
50064,42034,0.0,246,5,3,100,1,1,1996,2,1,1,0,1,0,1,0
46425,29387,1000.0,1593,4,1,1,1,1,1989,0,0,6,0,0,0,0,0
36747,32692,0.0,1648,16,2,850,1,0,1975,1,0,1,0,0,0,0,0
25155,61036,0.0,0,1,4,816,1,1,1986,4,0,3,0,2,0,0,0
11488,53407,0.0,1079,15,3,1,0,0,1998,3,0,1,0,1,0,1,0
95,26419,250.0,1471,16,2,950,1,1,2007,0,0,6,0,0,1,0,2
14859,59545,0.0,0,17,8,801,1,0,1985,2,0,4,0,1,0,1,2
24595,35741,100.0,1491,21,5,400,1,1,2002,1,0,2,1,1,0,0,2
43630,49219,0.0,0,17,2,843,1,0,1984,2,0,0,0,0,0,1,2
19478,21147,0.0,0,12,2,519,0,0,1991,0,0,0,0,0,1,0,0
8739,20579,20.0,-5,6,1,40,1,0,2009,1,0,2,0,0,0,0,2
52874,73541,0.0,0,17,1,363,1,0,2006,2,0,1,0,0,0,1,2
32777,22307,0.0,1330,20,2,1000,0,1,1996,0,0,3,0,0,0,0,2
58448,14556,1000.0,935,10,2,75,1,1,1977,0,0,6,0,2,1,0,0
30777,14249,0.0,0,12,7,356,1,1,2000,0,0,1,0,3,1,0,0
52722,53059,0.0,0,19,4,469,1,1,1990,2,0,1,5,1,0,1,0
11704,60378,0.0,335,8,3,250,1,0,1992,3,0,1,5,2,0,0,0
55567,38345,0.0,0,18,30,393,1,0,2004,0,0,1,0,0,0,2,2
34820,40767,3000.0,1169,16,2,450,1,1,1978,0,0,4,0,0,0,0,2
22037,27048,20.0,1554,13,3,420,1,0,1993,2,0,2,0,1,0,1,2
30732,69522,0.0,0,1,5,359,1,0,2000,4,0,2,0,2,0,2,0
39386,54010,0.0,0,14,4,462,1,1,1988,3,0,1,0,0,0,2,0
37149,29601,200.0,164,4,3,200,1,0,1988,3,0,6,1,3,0,2,0
56781,53463,25.0,986,21,1,210,1,1,1984,0,0,2,0,1,1,2,1
48203,39658,500.0,318,5,4,300,1,1,2010,3,0,6,1,0,0,1,2
2484,18117,0.0,0,19,2,825,1,1,1992,3,0,1,0,2,0,2,0
26765,21787,0.0,407,8,3,220,1,0,2008,3,0,1,5,2,0,0,0
47222,57263,0.0,1496,20,2,300,0,1,2011,0,1,1,0,3,1,0,2
11864,2019,0.0,0,17,8,668,0,1,2000,0,0,3,0,2,1,0,0
38997,68573,0.0,778,10,5,150,1,1,1986,0,0,1,0,3,1,0,0
